Signature1 Signature2 Signature3 Signature4 Signature5 Signature6 Signature7 Signature8 Signature9 Signature10 Signature11 Signature12 Signature13 Signature14 Signature15 Signature16 Signature17 Signature18 Signature20
GTT>GAT 0.00297326928750462 0.000323246323987649 0.00561511394173972 0.00131672465940382 0.00608002599803295 0.00363956959112398 0.0047753029760462 0.000909274696963974 0.0142106825232314 0.00569650431320235 0.00380888161906208 0.00792438004970118 0.000809777383466023 0.0254731974910778 0.00599265798086723 0.00468095841952611 0.00141940322069882 0.0179810516250006 0.0023904955416676
TTA>TAA 0.00967823664830622 0.00200060395469671 0.0216428201244554 0.0207021646016111 0.0207732632354399 0.0489639906269024 0.0236565758965677 0.0101758677055802 0.0103220017073549 0.0601197255834756 0.00717393380425386 0.00365908041627735 0.0206052490378649 0.0270032287468586 0.00343137254627956 0.0232257226071871 0.00715387654273163 0.00827342515833751 0.00353299048482229
TTC>TAC 0.00384122634930132 0.000432867465292558 0.0083465080832406 0.00192155866708204 0.0043392345329057 0.00255040104156863 0.00176826716803401 0.00278679829299196 0.00170746685232886 0.00694652839144692 0.0051135321942223 0.0210814762748323 0.00332791638236666 0.0176546531209896 0.010323243612637 0.00864215046820223 0.00737913438026433 0.00848774097118926 0.00425516187656957
TTG>TAG 0.00339984766616919 0.000231243981811469 0.00696318036459567 0.000683773131931061 0.00773991810826632 0.000877653749913775 0.00156640808770325 0.00587354992780974 0.00225528899901987 0.0123394776456728 0.00444267507691321 0.00415110187942985 0.00844389986331111 0.00686392691963188 0.0114648190267709 0.0126026510802104 0.0113661395641881 0.00911253469973332 0.002218570066055
TTT>TAT 0.00791966663001741 0.00053466290926532 0.0153765688610971 0.00306101623044602 0.02117196050254 0.0139118500493538 0.00214703348824006 0.0059780498772073 0.0197517755909403 0.00299839653384346 0.0401128443342529 0.00581178096766222 0.00785124134480909 0.0232871813231556 0.00464981376999108 0.0132219978676841 0.0181727723515669 0.013390224986744 0.00564372007332712
ATA>ACA 0.0374684166890265 0.00329876315652629 0.00487064027973087 0.00893386871414648 0.00828284525873632 0.00516260893145942 0.00294422271919665 0.012264363547793 0.00872262253323211 0.0166648360618951 0.0207723797423122 0.0195419202747936 0.00853788763323307 0.0247878297508155 0.0123896679646489 0.00998120753820707 0.00932014281714663 0.00416822241032488 0.00516770832125503
ATC>ACC 0.00969216225854235 0.00088787184632948 0.00558967392694617 0.00320912652031069 0.0113492779612205 0.00392449155045655 0.0018852998105278 0.0146296988139236 0.00420094361324817 0.0278477741776352 0.00632615301185433 0.00913173317955511 0.00293606595966548 0.0183775410589517 0.0157119496450295 0.00919525844506313 0.00790463157517793 0.00289391574537514 0.00370106828327907
ATG>ACG 0.0263664205086954 0.00156908124105058 0.00784432673109975 0.00596818958728461 0.00430512861204543 0.00253088714800467 0.0157911725854336 0.02242761141694 0.0210401376812824 0.0190925724566692 0.00482161104316434 0.028426625504463 0.00443644818324439 0.0130001978002438 0.00695493069793264 0.00183666914473354 0.00225882072923854 0.00558960329851786 0.0111761769949231
ATT>ACT 0.0354964365272826 0.00198570377286971 0.0120025316831693 0.00585156695290113 0.00913159457298474 0.00563099290135053 0.00954267622488443 0.0207858962438441 0.0171235273462084 0.00832266831492525 0.00562061621070078 0.0198941066521983 0.028850403220684 0.0157349606745573 0.00523436751192608 0.00463318109368254 0.00536979918853389 0.0242205461486473 0.0105312515388497
CTA>CCA 0.00888465511918658 0.00150943087348646 0.00647832493805051 0.000877588581957111 0.00879436829855647 0.00117691259238478 0.00684861060354086 0.00185836483081491 0.0208742988900153 0.00519122191884335 0.00461447088779263 0.0104481995681551 0.00358750320182892 0.00973339995409815 0.0247177860788951 0.00351141023349162 0.0138752154420456 0.0140925287450628 0.00332512691374852
CTC>CCC 0.00775686611574682 0.000283182953855468 0.000962684929778928 0.00356522120881438 0.0168223842735819 0.000754065621614961 0.00387299659989699 0.0127611455614475 0.0121785772637013 0.0033730681732107 0.00679870624710751 0.00321752822569158 0.0136063432498848 0.0098355845066769 0.00812612302521714 0.00719579722554779 0.00548714689112299 0.00430069906107653 0.0161652178007303
CTG>CCG 0.0115101347308272 0.00047276501850259 0.00250691346663845 0.00363882295564054 0.0190539183587699 0.00488208053503163 0.00342570389429053 0.00301263942046611 0.026228440748432 0.00747984082430667 0.0037788127092537 0.00990049372252595 0.00270320703917578 0.00514379864554988 0.0125953871202513 0.00203150853454108 0.0265597361420744 0.0226731477281234 0.00607973061632728
CTT>CCT 0.00942688450436026 0.00164739628522236 0.00482197012963132 0.00191047962388004 0.0210729266480706 0.0133539803173629 0.00745861056138295 0.00280396055580936 0.00790314444341748 0.00488767614505599 0.00255388499852566 0.00422015764941322 0.0258293215986606 0.0107706930459129 0.00374081194902285 0.0111106327772893 0.0106855763632505 0.00609447138033671 0.00271529212219869
GTA>GCA 0.0129420637824279 0.00216557641006133 0.00738162806678707 0.00136259525518882 0.00670109055724618 0.00470379188117606 0.00701869819179769 0.00574598391173798 0.00450763750590446 0.0225399015816289 0.00492590792664114 0.00778059619562259 0.00496209258037963 0.0182534012052763 0.0187410352006889 0.00526865616635077 0.00123061517417393 0.0151321191196326 0.011042878385432
GTC>GCC 0.00669195364635264 0.000251361680613084 0.00286744615538163 0.00139874863228849 0.00879371207606681 0.00561549364103443 0.0021228516816324 0.00397924526007262 0.00928857652051407 0.00801202825718087 0.0126816541586668 0.00261555177978153 0.0043238224677687 0.00163693450959601 0.0140927951976858 0.00485428691699544 0.00612627390671171 0.0103570461994907 0.00135317494048978
GTG>GCG 0.00864537945010102 0.00147443014695342 0.00927418106416099 0.00200310034031574 0.0104204712835278 0.0053549849171436 0.00260023447931804 0.0024083909672626 0.0189536815994456 0.0203521076558252 0.00335209253683783 0.00994750663021078 0.00390708180476132 0.00923701466075395 0.00954004544078529 0.00221215224145497 0.00451477066594421 0.00889274520213333 0.0111539444775359
